deidentified_id,deidentified_sample,Total Cells,FOXP3 (Opal 620) Positive Cells,CD3 (Opal 570) Positive Cells,CD8 (Opal 520) Positive Cells,PD1 (Opal 650) Positive Cells,PDL1 (Opal 540) Positive Cells,CD3+ FOXP3+ Cells,CD3+ CD8+ Cells,CD3+ CD8+ FOXP3+ Cells,CD3+ PD1+ Cells,CD3+ PD-L1+ Cells,CD8+ PD1+ Cells,CD3+ CD8+ PD-L1+ Cells,% FOXP3 (Opal 620) Positive Cells,% CD3 (Opal 570) Positive Cells,% CD8 (Opal 520) Positive Cells,% PD1 (Opal 650) Positive Cells,% PDL1 (Opal 540) Positive Cells,% CD3+ FOXP3+ Positive Cells,% CD3+ CD8+ Positive Cells,% CD3+ CD8+ FOXP3+ Positive Cells,% CD3+ PD1+ Positive Cells,% CD3+ PD-L1+ Positive Cells,% CD8+ PD1+ Positive Cells,% CD3+ CD8+ PD-L1+ Positive Cells,Area Analyzed (μm²),Area Analyzed (mm²)
205,"TMA1_[3,F].tif",2896,23,162,102,1,20,23,60,0,0,2,0,0,0.794199,5.593923,3.522099,0.03453,0.690608,0.794199,2.071823,0,0,0.069061,0,0,890933.625,0.890933625
785,"TMA1_[3,D].tif",4708,22,460,526,1,22,22,373,5,1,4,0,3,0.46729,9.770603,11.172472,0.02124,0.46729,0.46729,7.922685,0.106202,0.02124,0.084962,0,0.063721,865264,0.865264
718,"TMA1_[3,B].tif",3803,3,17,7,0,1,3,3,0,0,0,0,0,0.078885,0.447016,0.184065,0,0.026295,0.078885,0.078885,0,0,0,0,0,903221.75,0.90322175
846,"TMA1_[2,F].tif",6568,18,490,157,0,0,16,137,0,0,0,0,0,0.274056,7.460414,2.390378,0,0,0.243605,2.085871,0,0,0,0,0,1043632.313,1.043632313
503,"TMA1_[2,D].tif",4995,28,428,195,0,7,24,142,2,0,0,0,0,0.560561,8.568568,3.903904,0,0.14014,0.48048,2.842843,0.04004,0,0,0,0,977703.3125,0.977703313
659,"TMA1_[2,B].tif",2198,1,131,186,0,6,1,65,1,0,0,0,0,0.045496,5.959964,8.462238,0,0.272975,0.045496,2.957234,0.045496,0,0,0,0,549053.3125,0.549053313
192,"TMA1_[1,F].tif",3090,0,2,79,0,0,0,0,0,0,0,0,0,0,0.064725,2.556634,0,0,0,0,0,0,0,0,0,796344.875,0.796344875
970,"TMA1_[1,D].tif",4600,0,135,74,0,1,0,31,0,0,0,0,0,0,2.934783,1.608696,0,0.021739,0,0.673913,0,0,0,0,0,970248.3125,0.970248313
212,"TMA1_[1,B].tif",5555,0,0,150,0,0,0,0,0,0,0,0,0,0,0,2.70027,0,0,0,0,0,0,0,0,0,1021221.5,1.0212215
290,"TMA2_[3,F].tif",4831,147,1401,736,7,76,147,588,44,7,52,4,39,3.042848,29.000208,15.234941,0.144898,1.573173,3.042848,12.171393,0.910785,0.144898,1.076382,0.082799,0.807286,831041.125,0.831041125
868,"TMA2_[3,D].tif",3641,48,831,770,1,102,46,666,16,1,82,0,78,1.318319,22.8234,21.148037,0.027465,2.801428,1.263389,18.291677,0.43944,0.027465,2.252129,0,2.142269,769517.4375,0.769517438
667,"TMA2_[3,B].tif",3008,3,21,12,0,0,3,7,0,0,0,0,0,0.099734,0.698138,0.398936,0,0,0.099734,0.232713,0,0,0,0,0,890083.5625,0.890083563
663,"TMA2_[2,F].tif",4636,13,330,189,0,2,11,147,1,0,1,0,0,0.280414,7.118206,4.07679,0,0.043141,0.237274,3.170837,0.02157,0,0.02157,0,0,938116.0625,0.938116063
341,"TMA2_[2,D].tif",2745,20,380,215,0,14,19,171,1,0,1,0,1,0.728597,13.843351,7.832423,0,0.510018,0.692168,6.229508,0.03643,0,0.03643,0,0.03643,793540.8125,0.793540813
169,"TMA2_[2,B].tif",660,0,5,11,0,0,0,1,0,0,0,0,0,0,0.757576,1.666667,0,0,0,0.151515,0,0,0,0,0,324555.9063,0.324555906
77,"TMA2_[1,F].tif",5117,5,21,37,0,0,1,11,0,0,0,0,0,0.097714,0.410397,0.72308,0,0,0.019543,0.21497,0,0,0,0,0,974139.125,0.974139125
267,"TMA2_[1,D].tif",4222,30,377,274,0,19,30,160,3,0,6,0,1,0.710564,8.929418,6.489815,0,0.450024,0.710564,3.789673,0.071056,0,0.142113,0,0.023685,925754.5625,0.925754563
619,"TMA2_[1,B].tif",5003,1,416,324,0,9,1,259,0,0,5,0,5,0.019988,8.315011,6.476114,0,0.179892,0.019988,5.176894,0,0,0.09994,0,0.09994,1005551,1.005551
360,"TMA3_[12,G].tif",897,7,45,48,0,9,7,13,0,0,0,0,0,0.780379,5.016722,5.351171,0,1.003345,0.780379,1.449275,0,0,0,0,0,184542.625,0.184542625
388,"TMA3_[12,H].tif",239,0,2,5,0,0,0,2,0,0,0,0,0,0,0.83682,2.09205,0,0,0,0.83682,0,0,0,0,0,51584.07813,0.051584078
625,"TMA3_[12,K].tif",1431,1,9,23,0,2,1,2,0,0,0,0,0,0.069881,0.628931,1.607268,0,0.139762,0.069881,0.139762,0,0,0,0,0,278157.3125,0.278157313
291,"TMA3_[12,L].tif",552,1,37,18,0,0,1,14,0,0,0,0,0,0.181159,6.702899,3.26087,0,0,0.181159,2.536232,0,0,0,0,0,150448.1875,0.150448188
756,"TMA3_[12,M].tif",734,1,12,12,0,0,1,0,0,0,0,0,0,0.13624,1.634877,1.634877,0,0,0.13624,0,0,0,0,0,0,166723.1875,0.166723188
198,"TMA3_[12,Q].tif",1472,6,37,29,0,0,6,15,1,0,0,0,0,0.407609,2.513587,1.970109,0,0,0.407609,1.019022,0.067935,0,0,0,0,297716.8438,0.297716844
81,"TMA3_[12,R].tif",2358,0,13,17,0,0,0,4,0,0,0,0,0,0,0.551315,0.72095,0,0,0,0.169635,0,0,0,0,0,388671.2188,0.388671219
867,"TMA3_[12,S].tif",1228,1,12,23,1,0,0,8,0,1,0,0,0,0.081433,0.977199,1.872964,0.081433,0,0,0.651466,0,0.081433,0,0,0,231820.6875,0.231820688
69,"TMA3_[12,T].tif",1682,28,638,418,0,1,22,314,6,0,1,0,1,1.664685,37.931034,24.851368,0,0.059453,1.307967,18.668253,0.356718,0,0.059453,0,0.059453,260051.5469,0.260051547
738,"TMA3_[12,U].tif",947,0,2,2,0,0,0,0,0,0,0,0,0,0,0.211193,0.211193,0,0,0,0,0,0,0,0,0,156146.7344,0.156146734
326,"TMA3_[13,F].tif",1356,0,11,13,0,0,0,4,0,0,0,0,0,0,0.811209,0.958702,0,0,0,0.294985,0,0,0,0,0,263251.125,0.263251125
962,"TMA3_[13,G].tif",1208,1,7,3,0,0,1,1,0,0,0,0,0,0.082781,0.57947,0.248344,0,0,0.082781,0.082781,0,0,0,0,0,287935.0938,0.287935094
805,"TMA3_[13,H].tif",860,1,4,11,0,0,1,2,0,0,0,0,0,0.116279,0.465116,1.27907,0,0,0.116279,0.232558,0,0,0,0,0,201865.7813,0.201865781
368,"TMA3_[13,I].tif",900,0,1,1,0,0,0,1,0,0,0,0,0,0,0.111111,0.111111,0,0,0,0.111111,0,0,0,0,0,192915.2969,0.192915297
505,"TMA3_[13,J].tif",931,0,3,10,0,0,0,2,0,0,0,0,0,0,0.322234,1.074114,0,0,0,0.214823,0,0,0,0,0,189444.9844,0.189444984
441,"TMA3_[13,L].tif",605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124158.0156,0.124158016
507,"TMA3_[13,M].tif",997,0,6,3,0,0,0,0,0,0,0,0,0,0,0.601805,0.300903,0,0,0,0,0,0,0,0,0,272020.75,0.27202075
942,"TMA3_[13,O].tif",672,0,9,8,0,0,0,2,0,0,0,0,0,0,1.339286,1.190476,0,0,0,0.297619,0,0,0,0,0,144474.2031,0.144474203
272,"TMA3_[13,S].tif",1095,3,19,7,0,0,1,1,0,0,0,0,0,0.273973,1.73516,0.639269,0,0,0.091324,0.091324,0,0,0,0,0,202001.3906,0.202001391
443,"TMA3_[13,T].tif",1189,0,8,5,0,0,0,1,0,0,0,0,0,0,0.672834,0.420521,0,0,0,0.084104,0,0,0,0,0,267538.125,0.267538125
109,"TMA3_[13,U].tif",2673,2,43,55,0,2,2,19,0,0,0,0,0,0.074822,1.608679,2.057613,0,0.074822,0.074822,0.710812,0,0,0,0,0,401676.9688,0.401676969
835,"TMA3_[14,F].tif",1288,0,7,18,0,0,0,2,0,0,0,0,0,0,0.543478,1.397516,0,0,0,0.15528,0,0,0,0,0,256340.375,0.256340375
294,"TMA3_[14,G].tif",1045,0,9,17,0,0,0,3,0,0,0,0,0,0,0.861244,1.626794,0,0,0,0.287081,0,0,0,0,0,227585.0625,0.227585063
838,"TMA3_[14,H].tif",1275,3,21,29,0,0,2,6,0,0,0,0,0,0.235294,1.647059,2.27451,0,0,0.156863,0.470588,0,0,0,0,0,295666.4688,0.295666469
304,"TMA3_[14,I].tif",930,0,3,11,0,0,0,1,0,0,0,0,0,0,0.322581,1.182796,0,0,0,0.107527,0,0,0,0,0,219148.9063,0.219148906
244,"TMA3_[14,K].tif",1234,0,54,26,0,0,0,15,0,0,0,0,0,0,4.376013,2.106969,0,0,0,1.215559,0,0,0,0,0,228788.1094,0.228788109
915,"TMA3_[14,M].tif",569,0,1,5,0,0,0,1,0,0,0,0,0,0,0.175747,0.878735,0,0,0,0.175747,0,0,0,0,0,101563.6875,0.101563688
677,"TMA3_[14,Q].tif",350,1,4,13,0,0,1,0,0,0,0,0,0,0.285714,1.142857,3.714286,0,0,0.285714,0,0,0,0,0,0,126225.9219,0.126225922
393,"TMA3_[14,R].tif",1367,0,6,12,0,0,0,1,0,0,0,0,0,0,0.438917,0.877835,0,0,0,0.073153,0,0,0,0,0,253250.5,0.2532505
613,"TMA3_[9,L].tif",1814,1,37,35,0,0,1,11,0,0,0,0,0,0.055127,2.039691,1.929438,0,0,0.055127,0.606395,0,0,0,0,0,352412.5313,0.352412531
182,"TMA3_[9,M].tif",729,2,8,2,0,0,2,1,0,0,0,0,0,0.274348,1.097394,0.274348,0,0,0.274348,0.137174,0,0,0,0,0,175091.9063,0.175091906
557,"TMA3_[9,N].tif",1087,0,13,12,0,0,0,2,0,0,0,0,0,0,1.195952,1.103956,0,0,0,0.183993,0,0,0,0,0,217829.5,0.2178295
701,"TMA3_[9,O].tif",2552,0,34,19,0,0,0,7,0,0,0,0,0,0,1.332288,0.744514,0,0,0,0.274295,0,0,0,0,0,380756.7813,0.380756781
788,"TMA3_[9,Q].tif",1880,4,11,3,0,0,2,2,0,0,0,0,0,0.212766,0.585106,0.159574,0,0,0.106383,0.106383,0,0,0,0,0,311695.9063,0.311695906
914,"TMA3_[9,S].tif",1656,7,73,29,0,0,7,17,0,0,0,0,0,0.422705,4.408213,1.751208,0,0,0.422705,1.02657,0,0,0,0,0,296618.7813,0.296618781
706,"TMA3_[9,T].tif",1502,2,12,6,0,0,1,1,0,0,0,0,0,0.133156,0.798935,0.399467,0,0,0.066578,0.066578,0,0,0,0,0,252676.8906,0.252676891
79,"TMA3_[9,U].tif",1421,0,3,12,0,0,0,2,0,0,0,0,0,0,0.211119,0.844476,0,0,0,0.140746,0,0,0,0,0,238540.9531,0.238540953
12,"TMA3_[10,A].tif",963,0,34,53,0,1,0,16,0,0,0,0,0,0,3.530633,5.503634,0,0.103842,0,1.661475,0,0,0,0,0,179726.4844,0.179726484
73,"TMA3_[10,B].tif",1316,16,110,15,0,0,14,10,2,0,0,0,0,1.215806,8.358663,1.139818,0,0,1.06383,0.759878,0.151976,0,0,0,0,281246.1875,0.281246188
547,"TMA3_[10,D].tif",1672,2,29,23,0,2,2,10,0,0,0,0,0,0.119617,1.73445,1.375598,0,0.119617,0.119617,0.598086,0,0,0,0,0,310943.6875,0.310943688
88,"TMA3_[10,E].tif",1446,14,52,26,0,0,13,15,0,0,0,0,0,0.968188,3.596127,1.798064,0,0,0.899032,1.037344,0,0,0,0,0,333142.5313,0.333142531
590,"TMA3_[10,F].tif",774,4,13,12,0,0,4,2,0,0,0,0,0,0.516796,1.679587,1.550388,0,0,0.516796,0.258398,0,0,0,0,0,153617.375,0.153617375
963,"TMA3_[10,G].tif",1895,0,14,29,0,0,0,13,0,0,0,0,0,0,0.738786,1.530343,0,0,0,0.686016,0,0,0,0,0,313906.8438,0.313906844
768,"TMA3_[10,H].tif",2020,0,5,16,0,0,0,5,0,0,0,0,0,0,0.247525,0.792079,0,0,0,0.247525,0,0,0,0,0,339475.4375,0.339475438
127,"TMA3_[10,I].tif",332,0,16,18,0,0,0,7,0,0,0,0,0,0,4.819277,5.421687,0,0,0,2.108434,0,0,0,0,0,95751.25781,0.095751258
317,"TMA3_[10,K].tif",1410,0,17,31,0,0,0,7,0,0,0,0,0,0,1.205674,2.198581,0,0,0,0.496454,0,0,0,0,0,224979.8594,0.224979859
480,"TMA3_[10,L].tif",1362,2,33,31,0,0,2,14,0,0,0,0,0,0.146843,2.422908,2.276065,0,0,0.146843,1.0279,0,0,0,0,0,278271.1875,0.278271188
906,"TMA3_[10,M].tif",1435,0,14,15,0,0,0,7,0,0,0,0,0,0,0.97561,1.045296,0,0,0,0.487805,0,0,0,0,0,249796.7344,0.249796734
902,"TMA3_[10,N].tif",739,1,12,14,0,0,1,6,0,0,0,0,0,0.135318,1.623816,1.894452,0,0,0.135318,0.811908,0,0,0,0,0,250503.9844,0.250503984
993,"TMA3_[10,O].tif",796,0,12,21,0,0,0,9,0,0,0,0,0,0,1.507538,2.638191,0,0,0,1.130653,0,0,0,0,0,222388.9844,0.222388984
640,"TMA3_[10,Q].tif",315,0,50,2,3,0,0,2,0,3,0,0,0,0,15.873015,0.634921,0.952381,0,0,0.634921,0,0.952381,0,0,0,33421.01953,0.03342102
704,"TMA3_[10,S].tif",275,0,1,1,0,0,0,1,0,0,0,0,0,0,0.363636,0.363636,0,0,0,0.363636,0,0,0,0,0,60042.47266,0.060042473
457,"TMA3_[10,T].tif",752,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.132979,0,0,0,0,0,0,0,0,0,183179,0.183179
488,"TMA3_[10,U].tif",749,0,1,2,0,0,0,1,0,0,0,0,0,0,0.133511,0.267023,0,0,0,0.133511,0,0,0,0,0,125017.9297,0.12501793
798,"TMA3_[11,A].tif",199,0,1,3,0,0,0,1,0,0,0,0,0,0,0.502513,1.507538,0,0,0,0.502513,0,0,0,0,0,46413.69141,0.046413691
551,"TMA3_[11,C].tif",1516,4,32,33,0,0,3,18,1,0,0,0,0,0.263852,2.110818,2.176781,0,0,0.197889,1.187335,0.065963,0,0,0,0,346186.3125,0.346186313
125,"TMA3_[11,D].tif",1223,3,16,14,0,0,3,3,0,0,0,0,0,0.245298,1.308258,1.144726,0,0,0.245298,0.245298,0,0,0,0,0,249947.6719,0.249947672
950,"TMA3_[11,G].tif",1289,1,48,92,0,0,1,34,0,0,0,0,0,0.07758,3.723817,7.137316,0,0,0.07758,2.637704,0,0,0,0,0,231466.6875,0.231466688
681,"TMA3_[11,H].tif",1038,0,9,45,0,1,0,7,0,0,0,0,0,0,0.867052,4.33526,0,0.096339,0,0.674374,0,0,0,0,0,246502.5625,0.246502563
373,"TMA3_[11,I].tif",1043,0,5,16,0,0,0,3,0,0,0,0,0,0,0.479386,1.534036,0,0,0,0.287632,0,0,0,0,0,163348.9688,0.163348969
199,"TMA3_[11,J].tif",1043,0,6,21,0,0,0,0,0,0,0,0,0,0,0.575264,2.013423,0,0,0,0,0,0,0,0,0,239088.625,0.239088625
376,"TMA3_[11,K].tif",805,0,11,18,0,0,0,8,0,0,0,0,0,0,1.36646,2.236025,0,0,0,0.993789,0,0,0,0,0,141670.1406,0.141670141
196,"TMA3_[11,L].tif",263,1,3,8,0,0,0,1,0,0,0,0,0,0.380228,1.140684,3.041825,0,0,0,0.380228,0,0,0,0,0,71776.75781,0.071776758
91,"TMA3_[11,N].tif",1056,0,4,12,0,0,0,4,0,0,0,0,0,0,0.378788,1.136364,0,0,0,0.378788,0,0,0,0,0,238266.25,0.23826625
716,"TMA3_[11,O].tif",1538,4,40,21,0,2,2,4,0,0,0,0,0,0.260078,2.60078,1.36541,0,0.130039,0.130039,0.260078,0,0,0,0,0,322991.7188,0.322991719
517,"TMA3_[11,Q].tif",2125,1,2,3,0,0,1,1,0,0,0,0,0,0.047059,0.094118,0.141176,0,0,0.047059,0.047059,0,0,0,0,0,346651.5,0.3466515
159,"TMA3_[11,R].tif",352,0,1,6,0,0,0,1,0,0,0,0,0,0,0.284091,1.704545,0,0,0,0.284091,0,0,0,0,0,69421.79688,0.069421797
876,"TMA3_[11,S].tif",1834,9,94,8,0,0,7,7,0,0,0,0,0,0.490731,5.125409,0.436205,0,0,0.381679,0.381679,0,0,0,0,0,382105.0938,0.382105094
229,"TMA3_[11,T].tif",1627,5,56,70,0,0,4,27,1,0,0,0,0,0.307314,3.441918,4.302397,0,0,0.245851,1.659496,0.061463,0,0,0,0,277588.125,0.277588125
255,"TMA3_[11,U].tif",1584,1,11,26,0,0,1,3,0,0,0,0,0,0.063131,0.694444,1.641414,0,0,0.063131,0.189394,0,0,0,0,0,277136.3125,0.277136313
2,"TMA3_[12,A].tif",1344,1,0,2,0,0,0,0,0,0,0,0,0,0.074405,0,0.14881,0,0,0,0,0,0,0,0,0,266697.4688,0.266697469
582,"TMA3_[12,B].tif",1324,2,39,45,0,12,2,25,0,0,1,0,1,0.151057,2.945619,3.398792,0,0.906344,0.151057,1.888218,0,0,0.075529,0,0.075529,264139.6875,0.264139688
587,"TMA3_[12,C].tif",963,0,4,0,0,0,0,0,0,0,0,0,0,0,0.415369,0,0,0,0,0,0,0,0,0,0,232521.2656,0.232521266
833,"TMA3_[7,E].tif",1007,2,7,11,0,0,2,1,0,0,0,0,0,0.19861,0.695134,1.092354,0,0,0.19861,0.099305,0,0,0,0,0,184175.0469,0.184175047
302,"TMA3_[7,G].tif",1808,4,120,79,0,0,4,41,0,0,0,0,0,0.221239,6.637168,4.369469,0,0,0.221239,2.267699,0,0,0,0,0,346860.7188,0.346860719
709,"TMA3_[7,H].tif",1526,5,81,54,0,0,5,32,1,0,0,0,0,0.327654,5.307995,3.538663,0,0,0.327654,2.096986,0.065531,0,0,0,0,307792.5313,0.307792531
986,"TMA3_[7,I].tif",963,2,10,5,0,0,1,1,0,0,0,0,0,0.207684,1.038422,0.519211,0,0,0.103842,0.103842,0,0,0,0,0,269991.875,0.269991875
930,"TMA3_[7,J].tif",1656,1,5,4,0,0,1,0,0,0,0,0,0,0.060386,0.301932,0.241546,0,0,0.060386,0,0,0,0,0,0,304977.625,0.304977625
479,"TMA3_[7,K].tif",1456,6,40,39,0,1,4,14,0,0,0,0,0,0.412088,2.747253,2.678571,0,0.068681,0.274725,0.961538,0,0,0,0,0,266843.7188,0.266843719
730,"TMA3_[7,L].tif",1699,4,87,109,0,0,2,39,0,0,0,0,0,0.235433,5.120659,6.415539,0,0,0.117716,2.295468,0,0,0,0,0,317568.375,0.317568375
445,"TMA3_[7,M].tif",2280,0,4,4,0,0,0,2,0,0,0,0,0,0,0.175439,0.175439,0,0,0,0.087719,0,0,0,0,0,348006.2188,0.348006219
122,"TMA3_[7,N].tif",1240,0,5,17,0,0,0,2,0,0,0,0,0,0,0.403226,1.370968,0,0,0,0.16129,0,0,0,0,0,268881.7188,0.268881719
964,"TMA3_[7,O].tif",1098,4,20,23,0,0,4,5,0,0,0,0,0,0.364299,1.821494,2.094718,0,0,0.364299,0.455373,0,0,0,0,0,259139.75,0.25913975
648,"TMA3_[7,Q].tif",1076,0,11,40,0,0,0,5,0,0,0,0,0,0,1.022305,3.717472,0,0,0,0.464684,0,0,0,0,0,235879.1719,0.235879172
1000,"TMA3_[7,R].tif",1028,3,90,86,0,0,3,32,0,0,0,0,0,0.291829,8.754864,8.365759,0,0,0.291829,3.11284,0,0,0,0,0,242663.6719,0.242663672
836,"TMA3_[7,S].tif",1970,0,163,86,0,0,0,45,0,0,0,0,0,0,8.274112,4.365482,0,0,0,2.284264,0,0,0,0,0,343318.2813,0.343318281
220,"TMA3_[7,T].tif",1807,0,2,2,0,0,0,1,0,0,0,0,0,0,0.110681,0.110681,0,0,0,0.05534,0,0,0,0,0,323242.1875,0.323242188
371,"TMA3_[7,U].tif",2286,10,36,18,0,0,5,9,0,0,0,0,0,0.437445,1.574803,0.787402,0,0,0.218723,0.393701,0,0,0,0,0,348478.2813,0.348478281
144,"TMA3_[8,B].tif",606,1,6,6,0,0,1,4,0,0,0,0,0,0.165017,0.990099,0.990099,0,0,0.165017,0.660066,0,0,0,0,0,147965.7656,0.147965766
691,"TMA3_[8,C].tif",1577,6,0,0,0,0,0,0,0,0,0,0,0,0.380469,0,0,0,0,0,0,0,0,0,0,0,335532.3125,0.335532313
722,"TMA3_[8,D].tif",1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351544.2188,0.351544219
577,"TMA3_[8,G].tif",1534,20,134,91,0,0,19,59,4,0,0,0,0,1.303781,8.735332,5.932203,0,0,1.238592,3.846154,0.260756,0,0,0,0,293577.5625,0.293577563
767,"TMA3_[8,H].tif",1224,0,43,22,0,0,0,6,0,0,0,0,0,0,3.513072,1.797386,0,0,0,0.490196,0,0,0,0,0,268812.8125,0.268812813
944,"TMA3_[8,I].tif",2385,23,268,94,0,2,22,75,1,0,0,0,0,0.964361,11.236897,3.9413,0,0.083857,0.922432,3.144654,0.041929,0,0,0,0,369263.3438,0.369263344
828,"TMA3_[8,J].tif",1485,3,37,43,0,0,1,25,0,0,0,0,0,0.20202,2.491582,2.895623,0,0,0.06734,1.683502,0,0,0,0,0,358226.1875,0.358226188
